brianpid,season,position,age,team,unitid,college,franname,wt,ht,birthdate,drafted_team,draft_round,draft_pkoverall,nfldraftyear,suppdraft,undrafted,nfldraft,birthday,transfercollege,drafted_fran,major_award,all_american,combineonly,combinepart,race,divfbs,bcsschool,birthcity,birthstate,captain,g,gs,av,law,lgeaction,tmaction,alcohol,drugs,driving,harm_othr,domestic,weapon,othr_crm,chrg_drop,guilty,acquit,probn,jail,susp_s,fine,other_punish,plea,divprog,team_suspend,team_boot,team_fine,nfl_suspend,nfl_boot,nfl_fine,nfl_counsel,intincident,finalsusp,indefinite,finalfinegame,finalfineextra,cutfromteam,otherdocking,lgepunished,teampunished,directtolge,directtoteam,directtoplayer,directtofans,directtoref,directtocoach,directtomedia,directtosociety,perscond,subabuse,pedpolicy,cdtt,cdtl,fieldfight,fieldhit,fieldnonv,fieldunsport,uniformequp,leaguerules,undisclosed,contract,fieldmis,oncond,playerappealed,appealsuccess,yrs,nflexp,probowl,apcomepoy,apdefpoy,apdefroy,apmvp,apoffpoy,apoffroy,bertbell,pfwacomepoy,pfwamvp,sbmvp,wpmoy,seasontotalaward,cpi_urban,deflator,real_basesal,real_signbonus,real_totbon,real_totsal,real_capvalue,fips,winpct,fbplay,sbchamp,msa_pop,real_msainc,oid,owner,owner_fnd,single,partner,corp,sportent,govt,lgecontrol,familyowned,gen2,gen3,winpctlag1
ChunPa99,2009,s,22,New England Patriots,209551,Oregon,New England Patriots,207,5-11,8/19/1987,New England Patriots,2,34,2009,0,0,1,19aug1987,,New England Patriots,0,1,0,1,2,1,1,Kingston,Jamaica,0,16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,214.537,.87523258,0,0,0,0,0,14460,.625,1,0,4527220,277438758912,KrafRo0,Robert Kraft,1994,1,0,0,0,0,0,0,0,0,.68800002
ChurBa99,2010,S,22,Dallas Cowboys,206084,Toledo,Dallas Cowboys,222,6-1,2/11/1988,,,,2010,0,1,0,11feb1988,,,,,1,1,2,1,0,Pittsburgh,PA,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,218.056,.88958877,0,0,0,0,0,19100,.375,0,0,6400511,301815431168,JoneJe0,Jerry Jones,1989,1,0,0,0,0,0,0,0,0,.68800002
CiurVi20,2003,LB,23,Tampa Bay Buccaneers,164924,Boston College,Tampa Bay Buccaneers,235,6-0,5/2/1980,,,,2003,0,1,0,02may1980,1,,,,,,1,1,1,Hackensack,NJ,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,184,.75065273,0,0,0,0,0,45300,.43799999,0,0,2529652,105058172928,GlazMa0,Malcolm Glazer,1995,1,0,0,0,0,0,0,0,0,.75
ClabTy20,2004,OL,,,199847,Wake Forest,New York Giants,,,10/17/1981,,,,2004,,,0,,,,,,1,1,1,1,1,Knoxville,TN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,0,0,188.89999,.77064294,0,0,0,0,0,35620,.375,0,0,18597871,1057253425152,mara-tisc-101,Wellington Mara and Rob Tisch,1991,0,1,0,0,0,0,0,1,0,.25
CladRy20,2008,LT,22,Denver Broncos,142115,Boise State,Denver Broncos,316,6-6,9/6/1986,Denver Broncos,1,12,2008,0,0,1,06sep1986,,Denver Broncos,0,1,0,1,2,1,0,Long Beach,CA,0,16,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5000,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,215.30299,.87835753,0,0,0,0,0,19740,.5,0,0,2463971,138376052736,BowlPa0,Pat Bowlen,1984,1,0,0,0,0,0,0,0,0,.43799999
ClaiCh20,1999,LB,21,Detroit Lions,123961,Southern California,Detroit Lions,259,6-3,7/26/1978,Detroit Lions,1,9,1999,0,0,1,26jul1978,,Detroit Lions,1,0,0,,2,1,1,San Diego,CA,0,15,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,166.60001,.67966712,0,0,0,0,0,19820,.5,1,0,4447649,206198931456,FordWi0,"William Clay Ford, Sr.",1961,1,0,0,0,0,0,0,0,0,.31299999
ClaiMo00,2012,RCB,22,Dallas Cowboys,159391,Louisiana State,Dallas Cowboys,188,5-11,2/7/1990,Dallas Cowboys,1,6,2012,0,0,1,07feb1990,,Dallas Cowboys,2,2,0,1,2,1,1,Shreveport,LA,0,15,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,229.59399,.93665957,416373.25,2740784.5,0,-14207211,3157157.8,19100,.5,0,0,6709559,331525357568,JoneJe0,Jerry Jones,1989,1,0,0,0,0,0,0,0,0,.5
ClanEr00,2011,LB,,,217864,Citadel,Pittsburgh Steelers,,,11/20/1987,,,,2011,,,,,,,,,,,2,0,0,Columbia,SC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,224.939,.91766888,408644.13,726.84167,0,409370.97,409370.97,38300,.75,1,0,2359746,115668885504,RoonDa0,Dan Rooney,1988,1,0,0,0,0,0,1,1,0,.75
ClanKe20,2000,DT,22,Pittsburgh Steelers,176017,Mississippi,Pittsburgh Steelers,305,6-1,9/17/1978,Pittsburgh Steelers,3,72,2000,0,0,1,17sep1978,,Pittsburgh Steelers,0,0,0,1,2,1,1,Tuscaloosa,AL,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,172.2,.70251304,0,0,0,0,0,38300,.56300002,0,0,2428303,106876297216,RoonDa0,Dan Rooney,1988,1,0,0,0,0,0,1,1,0,.375
ClarAd20,2004,OL,,Philadelphia Eagles,204796,Ohio State,Philadelphia Eagles,,,3/26/1981,Philadelphia Eagles,7,227,2004,,,1,,,,0,0,0,1,2,1,1,Cleveland,OH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,0,0,188.89999,.77064294,0,0,0,0,0,37980,.81300002,1,0,5804535,294874513408,LuriJe0,Jeffrey Lurie,1994,1,0,0,0,0,0,0,0,0,.75
ClarAr00,2013,WR,,,176080,Mississippi State,Cleveland Browns,,,9/29/1989,,,,2013,,,,,,,,,,,2,1,1,Tupelo,MS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,232.957,.95037943,50506.145,0,0,50506.145,50506.145,17460,.25,0,0,2064854,96242237440,HaslJi1,Jimmy Haslam III,2012,1,0,0,0,0,0,0,0,0,.31299999
ClarBr00,2006,WR,23,Denver Broncos,199193,North Carolina State,Denver Broncos,204,6-2,12/26/1983,,,,2006,0,1,0,26dec1983,,,,,,,2,1,1,Tampa,FL,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,201.60001,.82245433,0,0,0,0,0,19740,.56300002,0,0,2374194,134825517056,BowlPa0,Pat Bowlen,1984,1,0,0,0,0,0,0,0,0,.81300002
ClarCh00,2017,S,22,Baltimore Ravens,233921,Virginia Tech,Baltimore Ravens,208,,4/19/1995,Baltimore Ravens,6,186,2017,0,0,1,19apr1995,,Baltimore Ravens,,,0,1,2,1,1,Philadelphia,PA,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,245.12,1,465000,43701,0,333894,508701,12580,.56300002,0,0,,,BiscSt0,Steve Bisciotti,2004,1,0,0,0,0,0,0,0,0,.5
ClarCo21,2008,OL,,San Diego Chargers,228723,Texas AM,Los Angeles Chargers,,,6/21/1984,San Diego Chargers,7,234,2008,,,1,,,,0,0,0,1,1,1,1,San Antonio,TX,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,0,0,215.30299,.87835753,0,0,0,0,0,41740,.5,1,0,3022116,162387001344,SpanAl0,Alex Spanos,1984,1,0,0,0,0,0,0,0,0,.68800002
ClarDa00,2003,TE,24,Indianapolis Colts,153658,Iowa,Indianapolis Colts,257,6-3,6/12/1979,Indianapolis Colts,1,24,2003,0,0,1,12jun1979,,Indianapolis Colts,1,1,0,1,1,1,1,Livermore,IA,0,10,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,184,.75065273,0,0,0,0,0,26900,.75,1,0,1597557,73201565696,IrsaJa0,Jim Irsay,1997,1,0,0,0,0,0,0,1,0,.625
ClarDa21,2000,LB,23,Jacksonville Jaguars,145637,Illinois,Jacksonville Jaguars,248,6-2,5/9/1977,Jacksonville Jaguars,7,245,2000,0,0,1,09may1977,,Jacksonville Jaguars,0,0,0,1,2,1,1,Blue Island,IL,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,172.2,.70251304,0,0,0,0,0,27260,.43799999,0,0,1126282,48314867712,WeavWa0,Wayne Weaver,1993,1,0,0,0,0,0,0,0,0,.875
ClarDe00,1999,TE,22,Denver Broncos,199847,Wake Forest,Denver Broncos,255,6-3,4/20/1977,Denver Broncos,6,179,1999,0,0,1,20apr1977,,Denver Broncos,0,0,0,,2,1,1,Bartow,FL,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,166.60001,.67966712,0,0,0,0,0,19740,.375,0,0,2118555,107950260224,BowlPa0,Pat Bowlen,1984,1,0,0,0,0,0,0,0,0,.875
ClarDo00,2016,G,,San Diego Chargers,171100,Michigan State,Los Angeles Chargers,,,11/12/1992,San Diego Chargers,7,224,2016,,,1,,,,,,0,0,2,1,1,Cincinnati,OH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,0,0,240.007,.97914082,340094.09,21982.537,0,274146.47,362076.63,41740,.31299999,0,0,3317749,186898546688,SpanAl0,Alex Spanos,1984,1,0,0,0,0,0,0,0,0,.25
ClarFr01,2015,DE,22,Seattle Seahawks,170976,Michigan,Seattle Seahawks,270,6-2,6/14/1993,Seattle Seahawks,2,63,2015,0,0,1,14jun1993,,Seattle Seahawks,,,0,1,2,1,1,Bakersfield,CA,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,237.017,.96694273,449871.53,251913.58,0,-554076.25,701785.13,42660,.625,1,0,3733580,235615944704,AllePa0,Paul Allen,1997,1,0,0,0,0,0,0,0,0,.75
ClarGr00,1997,te,25,San Francisco 49ers,243744,Stanford,San Francisco 49ers,251,6-4,4/7/1972,San Francisco 49ers,3,77,1997,0,0,1,07apr1972,,San Francisco 49ers,0,0,0,,1,1,1,Centerville,UT,0,15,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,160.5,.65478134,0,0,0,0,0,41860,.81300002,1,0,3985694,222804000768,DeBaEd0,Edward DeBartolo Jr.,1977,1,0,0,0,0,0,0,0,0,.75
ClarJe04,2017,CB,23,NY Jets,170976,Michigan,New York Jets,220,6-3,6/29/1994,NY Jets,6,197,2017,0,0,1,29jun1994,,New York Jets,,,0,1,2,1,1,Daphn,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,245.12,1,375522,37103,0,264212,412625,35620,.31299999,0,0,,,JohnWo0,Robert Wood Johnson IV,2000,1,0,0,0,0,0,0,0,0,.31299999
ClarKe01,2016,de,21,Green Bay Packers,110662,UCLA,Green Bay Packers,314,6-3,10/4/1995,Green Bay Packers,1,27,2016,0,0,1,04oct1995,,Green Bay Packers,,,0,1,2,1,1,San Bernardino,CA,0,16,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,240.007,.97914082,459586.59,1278791.5,0,-5599747,1738378.1,24580,.625,1,0,318236,15068482560,packers-inc-100,Green Bay Packers Inc,1923,0,0,0,0,1,0,0,0,0,.625
ClarLe01,2016,rt,23,Indianapolis Colts,229115,Texas Tech,Indianapolis Colts,312,6-6,4/22/1993,Indianapolis Colts,3,82,2016,0,0,1,22apr1993,,Indianapolis Colts,,,0,1,2,1,1,Bryan,TX,0,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,240.007,.97914082,459586.59,187340.78,0,-102435.73,646927.38,26900,.5,0,0,2004230,101694038016,IrsaJa0,Jim Irsay,1997,1,0,0,0,0,0,0,1,0,.5
ClarMi00,2017,WR,22,Green Bay Packers,237525,Marshall,Green Bay Packers,217,,10/26/1995,,,,2017,0,1,0,26oct1995,1,,,,,,2,1,0,Salem,MA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,245.12,1,223165,1666,0,224831,224831,24580,.43799999,0,0,,,packers-inc-100,Green Bay Packers Inc,1923,0,0,0,0,1,0,0,0,0,.625
ClarPh21,1999,mlb,22,New Orleans Saints,215293,Pittsburgh,New Orleans Saints,241,6-0,1/9/1977,,,,1999,0,1,0,09jan1977,,,,,,,2,1,1,Miami ,FL,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,166.60001,.67966712,0,0,0,0,0,35380,.18799999,0,0,1317149,49685016576,BensTo0,Tom Benson,1985,1,0,0,0,0,0,0,0,0,.375
ClarRi20,1997,db,23,Indianapolis Colts,157289,Louisville,Indianapolis Colts,181,5-10,6/6/1974,,,,1997,0,1,0,06jun1974,,,,,,,6,1,0,Atlanta,GA,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,160.5,.65478134,0,0,0,0,0,26900,.18799999,0,0,1461053,60297883648,IrsaJa0,Jim Irsay,1997,1,0,0,0,0,0,0,1,0,.56300002
ClarSt00,2014,CB,,,100858,Auburn,Denver Broncos,,,7/20/1991,,,,2014,,,0,,,,,,1,1,1,1,1,Kansas City,MO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,0,0,236.73599,.96579629,0,1897.9158,0,1897.9158,1897.9158,19740,.75,1,0,2755856,156759244800,BowlPa0,Pat Bowlen,1984,1,0,0,0,0,0,0,0,0,.81300002
ClarTr20,2000,RG,22,Atlanta Falcons,123961,Southern California,Atlanta Falcons,300,6-5,3/23/1978,Atlanta Falcons,2,37,2000,0,0,1,23mar1978,,Atlanta Falcons,0,0,0,1,1,1,1,Detroit,MI,0,16,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,172.2,.70251304,0,0,0,0,0,12060,.25,0,0,4277944,205764968448,SmitTa0,Taylor Smith,1990,1,0,0,0,0,0,0,1,0,.31299999
ClarWi00,2014,DE,23,Cincinnati Bengals,238032,West Virginia,Cincinnati Bengals,271,6-6,5/4/1991,Cincinnati Bengals,3,88,2014,0,0,1,04may1991,,Cincinnati Bengals,0,0,0,1,2,1,1,Pittsburgh,PA,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,236.73599,.96579629,434874.31,141173.66,0,11353.326,576048,17140,.65600002,1,0,2148450,102165135360,BrowMi0,Mike Brown,1991,1,0,0,0,0,0,0,1,0,.68800002
ClauBl01,2015,T,,,176080,Mississippi State,Baltimore Ravens,,,1/31/1992,,,,2015,,,,,,,,,,,2,1,1,Mobile ,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,237.017,.96694273,116035.83,3446.9465,0,119482.77,119482.77,12580,.31299999,0,0,2797407,159912460288,BiscSt0,Steve Bisciotti,2004,1,0,0,0,0,0,0,0,0,.625
ClauJa20,2004,ldt,23,Tennessee Titans,153658,Iowa,Tennessee Titans,290,6-4,4/7/1981,Tennessee Titans,7,230,2004,0,0,1,07apr1981,,Tennessee Titans,0,0,0,1,1,1,1,Des Moines,IA,0,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,188.89999,.77064294,0,0,0,0,0,34980,.31299999,0,0,1405564,64081833984,AdamBu0,Bud Adams,1960,1,0,0,0,0,0,0,0,0,.75
ClauJi00,2010,QB,23,Carolina Panthers,152080,Notre Dame,Carolina Panthers,217,6-3,9/21/1987,Carolina Panthers,2,48,2010,0,0,1,21sep1987,,Carolina Panthers,0,0,0,1,1,1,1,Thousand Oaks,CA,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,218.056,.88958877,0,0,0,0,0,16740,.125,0,0,1763969,76325715968,RichJe0,Jerry Richardson,1993,1,0,0,0,0,0,0,0,0,.5
ClayAd00,2011,DE,23,Tampa Bay Buccaneers,153658,Iowa,Tampa Bay Buccaneers,281,6-3,7/6/1988,Tampa Bay Buccaneers,1,20,2011,0,0,1,06jul1988,,Tampa Bay Buccaneers,0,1,0,1,2,1,1,St. Louis,MO,0,16,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,224.939,.91766888,408644.13,1218040.6,0,1626684.8,1626684.8,45300,.25,0,0,2824724,120850448384,GlazMa0,Malcolm Glazer,1995,1,0,0,0,0,0,0,0,0,.625
ClayCh00,2011,FB,22,Miami Dolphins,207971,Tulsa,Miami Dolphins,245,6-3,2/13/1989,Miami Dolphins,6,174,2011,0,0,1,13feb1989,,Miami Dolphins,0,0,0,1,2,1,0,Little Rock,AR,0,14,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,224.939,.91766888,408644.13,30512.096,0,317107.84,439156.22,33100,.375,0,0,5670125,266134945792,RossSt0,Stephen Ross,2008,1,0,0,0,0,0,0,0,0,.43799999
ClayDe20,2001,DT,,,198464,East Carolina,Cleveland Browns,,,9/15/1977,,,,2001,,,0,,,,,,,,2,1,0,Martinsville,VA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,177.10001,.7225033,0,0,0,0,0,17460,.43799999,0,0,2141787,95981887488,LernAl0,Al Lerner,1999,1,0,0,0,0,0,0,0,0,.18799999
ClayFe20,2001,DE,23,Cleveland Browns II,139755,Georgia Tech,Cleveland Browns,275,6-5,1/22/1978,,,,2001,0,1,0,22jan1978,,,,,,,2,1,1,Decatur,GA,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,177.10001,.7225033,0,0,0,0,0,17460,.43799999,0,0,2141787,95981887488,LernAl0,Al Lerner,1999,1,0,0,0,0,0,0,0,0,.18799999
ClayJo00,2011,RB,23,Pittsburgh Steelers,240444,Wisconsin,Pittsburgh Steelers,248,6-1,1/4/1988,,,,2011,0,1,0,04jan1988,,,,,1,1,2,1,1,Racine,WI,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,224.939,.91766888,408644.13,3632.0291,0,412276.16,412276.16,38300,.75,1,0,2359746,115668885504,RoonDa0,Dan Rooney,1988,1,0,0,0,0,0,1,1,0,.75
ClayKa00,2015,WR,23,Baltimore Ravens,230764,Utah,Baltimore Ravens,190,5-10,1/2/1992,Tampa Bay Buccaneers,6,184,2015,0,0,1,02jan1992,,Tampa Bay Buccaneers,,,0,1,2,1,1,Long Island,CA,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,237.017,.96694273,109210.19,33734.16,0,142944.34,142944.34,12580,.31299999,0,0,2797407,159912460288,BiscSt0,Steve Bisciotti,2004,1,0,0,0,0,0,0,0,0,.625
